student_id,gender,age,degree,branch,cgpa,backlogs,internships,certifications,coding_skills,communication_skills,aptitude_score,projects,placed,company_type,package_lpa
1,Male,20,BE,Mechanical,8.4,2,2,2,1,3,69,0,0,None,0.0
2,Female,20,BTech,Electrical,8.6,2,0,5,1,9,81,4,0,None,0.0
3,Male,22,BCA,Electrical,6.62,3,0,1,1,7,50,1,0,None,0.0
4,Male,24,BCA,DS,8.01,0,0,4,4,7,47,4,0,None,0.0
5,Male,24,BCA,Electrical,9.12,2,1,2,4,4,77,4,0,None,0.0
6,Female,22,BSc,CS,6.77,1,3,4,8,1,67,2,1,Service,13.15
7,Male,23,BSc,CS,9.36,1,0,4,5,8,51,4,0,None,0.0
8,Male,20,BSc,CS,8.17,2,0,2,10,10,84,3,1,Product,8.98
9,Male,20,BSc,IT,7.32,3,3,4,4,9,73,3,0,None,0.0
10,Female,22,BE,CS,8.18,3,0,3,8,4,70,4,1,Service,13.4
11,Male,22,BE,CS,7.23,3,2,1,7,1,94,4,1,Startup,4.16
12,Male,23,BCA,DS,9.1,2,0,0,6,9,60,3,1,Product,7.27
13,Male,24,BSc,Mechanical,7.57,3,0,1,2,5,55,1,0,None,0.0
14,Male,21,BCA,Mechanical,9.38,3,1,0,5,6,63,0,1,Product,6.64
15,Female,24,BTech,CS,7.69,1,1,3,2,2,61,3,0,None,0.0
16,Male,20,BSc,CS,8.34,0,2,1,6,5,97,2,1,Startup,6.61
17,Female,22,BSc,CS,9.79,1,3,3,9,1,52,3,0,None,0.0
18,Female,23,BCA,Electrical,6.13,2,2,2,9,3,48,0,0,None,0.0
19,Female,24,BCA,DS,8.67,1,3,0,6,1,84,3,1,Product,9.24
20,Male,23,BTech,DS,6.1,0,0,2,4,1,86,5,0,None,0.0
21,Female,24,BCA,DS,9.11,1,1,2,10,9,47,0,0,None,0.0
22,Male,20,BSc,Mechanical,8.06,3,2,1,9,6,62,1,1,Startup,12.58
23,Female,21,BE,IT,9.53,0,2,4,5,8,88,1,1,Product,6.63
24,Female,23,BTech,Mechanical,9.22,2,1,4,8,5,49,4,0,None,0.0
25,Female,23,BTech,DS,5.82,1,3,3,9,9,80,1,0,None,0.0
26,Female,21,BSc,AI,6.09,1,0,1,5,4,95,3,0,None,0.0
27,Female,23,BE,IT,8.09,3,3,2,6,10,56,2,0,None,0.0
28,Female,23,BCA,CS,7.73,0,1,5,4,8,68,3,0,None,0.0
29,Female,24,BCA,Electrical,6.22,3,0,3,1,6,88,1,0,None,0.0
30,Female,24,BE,Mechanical,6.06,1,3,2,1,10,90,2,0,None,0.0
31,Male,21,BE,Electrical,7.93,1,0,3,5,5,90,1,1,Product,9.56
32,Male,20,BSc,IT,5.71,0,1,5,3,5,41,0,0,None,0.0
33,Female,23,BCA,AI,9.26,1,0,0,7,3,50,3,0,None,0.0
34,Female,20,BSc,IT,8.97,0,2,3,4,4,47,2,0,None,0.0
35,Female,21,BCA,Mechanical,8.88,2,1,3,4,10,60,5,0,None,0.0
36,Male,21,BCA,DS,5.57,1,2,2,4,5,88,4,0,None,0.0
37,Female,24,BE,CS,5.7,0,0,4,6,9,72,2,0,None,0.0
38,Male,23,BSc,DS,7.86,0,3,2,9,10,89,2,1,Startup,11.08
39,Male,22,BE,DS,9.78,3,0,1,9,3,46,5,0,None,0.0
40,Male,21,BSc,Mechanical,6.97,1,1,2,5,5,80,5,1,Service,14.96
41,Male,23,BCA,DS,6.98,3,1,5,8,9,64,2,1,Product,10.64
42,Male,20,BTech,DS,6.08,0,0,4,4,1,48,4,0,None,0.0
43,Female,24,BTech,Mechanical,8.4,2,3,1,8,5,81,2,1,Service,8.43
44,Female,20,BSc,Mechanical,8.28,2,1,5,10,4,87,3,1,Service,5.81
45,Female,21,BSc,AI,5.94,1,0,4,9,1,82,2,0,None,0.0
46,Female,21,BE,DS,7.51,2,3,1,8,1,77,1,1,Startup,11.8
47,Female,20,BCA,IT,8.37,1,2,2,8,7,66,2,1,Service,6.05
48,Male,21,BTech,CS,7.62,1,1,4,9,6,83,2,1,Service,13.14
49,Female,23,BE,Electrical,8.4,0,2,5,10,1,92,4,1,Service,5.53
50,Female,21,BSc,CS,9.01,0,1,5,8,4,99,0,1,Startup,13.3
51,Male,24,BCA,Mechanical,8.45,0,2,4,4,7,49,4,0,None,0.0
52,Female,23,BE,Electrical,8.15,3,0,5,5,6,87,4,1,Service,13.05
53,Male,22,BE,Mechanical,9.17,0,3,5,10,10,65,2,1,Product,8.0
54,Female,21,BSc,AI,9.37,1,0,0,6,2,66,5,1,Service,6.86
55,Male,21,BCA,DS,7.17,0,0,0,5,9,95,0,1,Service,11.37
56,Female,24,BTech,Mechanical,6.24,3,0,3,9,10,61,4,0,None,0.0
57,Female,24,BE,Mechanical,9.02,0,1,0,2,3,95,1,0,None,0.0
58,Male,20,BSc,CS,6.42,2,2,4,6,2,85,0,0,None,0.0
59,Male,20,BE,DS,9.49,1,1,3,10,1,88,5,1,Service,8.15
60,Male,20,BSc,AI,5.6,2,1,2,2,3,59,4,0,None,0.0
61,Male,24,BSc,Mechanical,9.46,2,3,3,8,6,65,2,1,Startup,9.68
62,Male,20,BSc,Mechanical,8.03,3,0,5,8,10,76,5,1,Product,10.15
63,Male,20,BCA,Mechanical,8.83,2,1,1,5,1,75,1,1,Product,14.62
64,Male,22,BTech,CS,7.21,0,2,3,10,2,68,5,1,Startup,11.92
65,Male,20,BCA,Mechanical,9.76,1,1,0,8,9,93,0,1,Startup,6.04
66,Female,21,BTech,Mechanical,6.48,2,3,2,5,1,52,5,0,None,0.0
67,Female,24,BSc,CS,6.64,2,3,1,4,1,46,1,0,None,0.0
68,Male,23,BTech,Mechanical,5.72,1,2,3,9,9,50,3,0,None,0.0
69,Female,22,BCA,DS,9.54,0,3,2,8,3,82,4,1,Product,11.35
70,Female,24,BE,DS,7.46,2,0,0,4,6,95,2,0,None,0.0
71,Female,24,BCA,CS,8.4,1,0,2,2,3,95,5,0,None,0.0
72,Female,21,BCA,DS,8.46,0,3,2,2,2,92,5,0,None,0.0
73,Male,20,BCA,Electrical,9.26,0,1,1,2,3,95,3,0,None,0.0
74,Female,21,BCA,Electrical,8.36,0,3,4,10,10,83,2,1,Product,13.13
75,Male,20,BCA,Electrical,7.92,3,2,0,8,4,42,4,0,None,0.0
76,Female,20,BTech,AI,8.55,0,0,1,6,1,83,5,1,Startup,14.15
77,Female,24,BTech,Mechanical,8.73,0,0,1,1,3,74,3,0,None,0.0
78,Female,20,BE,AI,6.3,1,1,1,10,7,40,0,0,None,0.0
79,Male,22,BCA,DS,5.97,3,2,4,4,2,81,3,0,None,0.0
80,Female,22,BCA,CS,5.82,0,0,4,3,7,40,5,0,None,0.0
81,Male,22,BE,Electrical,7.11,2,0,3,10,4,72,5,1,Service,6.3
82,Female,24,BE,CS,7.64,3,2,3,7,7,65,0,1,Startup,7.56
83,Male,21,BSc,AI,8.15,1,1,0,10,3,82,0,1,Product,3.5
84,Female,23,BE,DS,9.62,3,3,5,5,7,87,2,1,Startup,13.79
85,Male,20,BE,Mechanical,6.92,2,1,0,1,10,42,1,0,None,0.0
86,Male,23,BE,DS,8.77,3,0,4,6,7,63,1,1,Product,9.36
87,Female,21,BSc,Electrical,7.78,2,0,4,4,3,96,5,0,None,0.0
88,Male,21,BTech,DS,6.45,0,1,4,10,6,74,0,0,None,0.0
89,Female,24,BSc,CS,8.15,0,1,1,6,9,79,4,1,Startup,6.48
90,Female,22,BTech,IT,9.66,3,0,4,7,7,98,1,1,Product,10.97
91,Female,22,BE,Electrical,6.03,3,2,1,9,5,84,1,0,None,0.0
92,Female,21,BSc,Mechanical,7.68,1,2,1,1,1,55,4,0,None,0.0
93,Female,24,BSc,Electrical,5.72,1,3,0,6,8,86,2,0,None,0.0
94,Female,24,BTech,Electrical,6.88,2,0,2,8,4,81,0,1,Startup,3.7
95,Female,20,BSc,Mechanical,8.17,0,0,3,4,2,88,5,0,None,0.0
96,Female,22,BSc,Electrical,9.12,3,3,3,10,9,74,3,1,Product,12.7
97,Female,21,BCA,CS,8.64,0,0,0,9,3,53,3,0,None,0.0
98,Female,23,BTech,DS,7.49,3,0,0,4,6,72,0,0,None,0.0
99,Female,22,BSc,CS,9.41,2,1,4,4,3,97,2,0,None,0.0
100,Male,20,BSc,DS,6.8,0,2,4,9,7,48,5,0,None,0.0
101,Male,24,BE,IT,8.74,1,2,4,4,2,58,3,0,None,0.0
102,Female,21,BCA,Electrical,7.54,2,2,1,9,4,97,5,1,Service,11.49
103,Female,22,BCA,IT,9.36,0,3,1,1,10,69,5,0,None,0.0
104,Female,23,BE,AI,8.93,2,1,4,8,9,49,1,0,None,0.0
105,Female,20,BE,DS,9.38,3,0,1,2,8,92,2,0,None,0.0
106,Female,20,BE,CS,6.42,0,2,0,8,8,50,4,0,None,0.0
107,Female,22,BE,CS,8.37,0,2,4,5,8,65,0,1,Startup,4.53
108,Female,23,BCA,Electrical,8.68,0,1,3,1,7,65,3,0,None,0.0
109,Female,20,BSc,CS,8.69,1,0,3,1,6,53,0,0,None,0.0
110,Male,21,BSc,AI,7.67,2,3,5,6,8,55,4,0,None,0.0
111,Female,20,BE,Mechanical,5.55,1,0,1,1,7,78,3,0,None,0.0
112,Male,23,BTech,CS,6.62,1,3,3,2,1,69,0,0,None,0.0
113,Female,24,BE,Electrical,6.89,2,3,4,3,6,48,4,0,None,0.0
114,Female,24,BSc,IT,9.16,2,0,3,2,8,52,1,0,None,0.0
115,Male,22,BTech,CS,9.12,0,3,0,9,5,78,4,1,Service,3.96
116,Female,23,BE,CS,5.95,0,2,1,10,6,40,2,0,None,0.0
117,Male,20,BTech,CS,9.58,2,1,3,6,2,94,2,1,Service,5.33
118,Female,20,BE,Electrical,6.28,0,2,1,9,2,78,4,0,None,0.0
119,Female,24,BCA,Mechanical,7.28,3,3,0,5,2,41,5,0,None,0.0
120,Male,24,BSc,CS,6.43,0,3,3,4,6,62,5,0,None,0.0
121,Female,21,BE,Mechanical,9.2,2,1,5,2,5,73,1,0,None,0.0
122,Male,24,BTech,Mechanical,8.72,1,1,4,4,6,40,0,0,None,0.0
